id,name,height,weight,base_experience,evolves_from_species_id,evolution_chain_id,color_id,shape_id,capture_rate,is_legendary
86,seel,11,900,65,,37,9,3,190,0
87,dewgong,17,1200,166,86,37,9,3,75,0
88,grimer,9,300,65,,38,7,4,190,0
89,muk,12,300,175,88,38,7,4,75,0
90,shellder,3,40,61,,39,7,1,190,0
91,cloyster,15,1325,184,90,39,7,1,60,0
92,gastly,13,1,62,,40,7,1,190,0
93,haunter,16,1,142,92,40,7,4,90,0
94,gengar,15,405,250,93,40,7,6,45,0
95,onix,88,2100,77,,41,4,2,45,0
96,drowzee,10,324,66,,42,10,12,190,0
97,hypno,16,756,169,96,42,10,12,75,0
98,krabby,4,65,65,,43,8,14,225,0
99,kingler,13,600,166,98,43,8,14,60,0
100,voltorb,5,104,66,,44,8,1,190,0
101,electrode,12,666,172,100,44,8,1,60,0
102,exeggcute,4,25,65,,45,6,11,90,0
103,exeggutor,20,1200,186,102,45,10,7,45,0
104,cubone,4,65,64,,46,3,6,190,0
105,marowak,10,450,149,104,46,3,6,75,0
106,hitmonlee,15,498,159,,47,3,12,45,0
107,hitmonchan,14,502,159,,47,3,12,45,0
108,lickitung,12,655,77,,48,6,6,45,0
109,koffing,6,10,68,,49,7,1,190,0
110,weezing,12,95,172,109,49,7,11,60,0
111,rhyhorn,10,1150,69,,50,4,8,120,0
112,rhydon,19,1200,170,111,50,4,6,60,0
113,chansey,11,346,395,,51,6,6,30,0
114,tangela,10,350,87,,52,2,7,45,0
115,kangaskhan,22,800,172,,53,3,6,45,0
116,horsea,4,80,59,,54,2,5,225,0
117,seadra,12,250,154,116,54,2,5,75,0
118,goldeen,6,150,64,,55,8,3,225,0
119,seaking,13,390,158,118,55,8,3,60,0
120,staryu,8,345,68,,56,3,5,225,0
121,starmie,11,800,182,120,56,7,5,60,0
122,mr-mime,13,545,161,,57,6,12,45,0
123,scyther,15,560,100,,58,5,13,45,0
124,jynx,14,406,159,,59,8,12,45,0
125,electabuzz,11,300,172,,60,10,6,45,0
126,magmar,13,445,173,,61,8,6,45,0
127,pinsir,15,550,175,,62,3,12,45,0
128,tauros,14,884,172,,63,3,8,45,0
129,magikarp,9,100,40,,64,8,3,255,0
130,gyarados,65,2350,189,129,64,2,2,45,0
131,lapras,25,2200,187,,65,2,3,45,0
132,ditto,3,40,101,,66,7,1,35,0
133,eevee,3,65,65,,67,3,8,45,0
134,vaporeon,10,290,184,133,67,2,8,45,0
135,jolteon,8,245,184,133,67,10,8,45,0
136,flareon,9,250,184,133,67,8,8,45,0
137,porygon,8,365,79,,68,6,7,45,0
138,omanyte,4,75,71,,69,2,10,45,0
139,omastar,10,350,173,138,69,2,10,45,0
140,kabuto,5,115,71,,70,3,14,45,0
141,kabutops,13,405,173,140,70,3,6,45,0
142,aerodactyl,18,590,180,,71,7,9,45,0
143,snorlax,21,4600,189,,72,1,12,25,0
144,articuno,17,554,290,,73,2,9,3,1
145,zapdos,16,526,290,,74,10,9,3,1
146,moltres,20,600,290,,75,10,9,3,1
147,dratini,18,33,60,,76,2,2,45,0
148,dragonair,40,165,147,147,76,2,2,45,0
149,dragonite,22,2100,300,148,76,3,6,45,0
150,mewtwo,20,1220,340,,77,7,6,3,1
151,mew,4,40,300,,78,6,6,45,0
